Devin Singletary,4040761,RB
Jalen Richard,2972091,RB
Mark Andrews,3116365,TE
N'Keal Harry,4047839,WR
Mitchell Trubisky,3039707,QB
Mohamed Sanu Sr.,14922,WR
DaeSean Hamilton,3057987,WR
DK Metcalf,4047650,WR
Mecole Hardman,4035004,WR
Justice Hill,4038441,RB
Nyheim Hines,3916430,RB
Justin Jackson,3116136,RB
Trey Quinn,3115365,WR
Marquise Brown,4241372,WR
Hunter Renfrow,3135321,WR
Ronald Jones II,3912550,RB
Adam Humphries,2576491,WR
Clyde Edwards-Helaire,4242214,RB
Jonathan Taylor,4242335,RB
Melvin Gordon III,2576434,RB
A.J. Brown,4047646,WR
Terry McLaurin,3121422,WR
Cam Akers,4240021,RB
Antonio Gibson,4360294,RB
DJ Chark Jr.,3115394,WR
Raheem Mostert,2576414,RB
Darren Waller,2576925,TE
Deebo Samuel,3126486,WR
CeeDee Lamb,4241389,WR
D'Andre Swift,4259545,RB
Diontae Johnson,3932905,WR
Tyler Higbee,2573401,TE
Noah Fant,4036131,TE
Hayden Hurst,3924365,TE
J.K. Dobbins,4241985,RB
Zack Moss,4035676,RB
Josh Allen,3918298,QB
Henry Ruggs III,4241475,WR
Preston Williams,3915399,WR
Jerry Jeudy,4241463,WR
Darius Slayton,3916945,WR
Brandon Aiyuk,4360438,WR
Bryce Love,3931398,RB
Blake Jarwin,2991767,TE
T.J. Hockenson,4036133,TE
Justin Jefferson,4262921,WR
Colts D/ST,-16011,D/ST
Mike Gesicki,3116164,TE
Chase Edmonds,3119195,RB
Jalen Reagor,4241802,WR
Bryan Edwards,4038818,WR
Boston Scott,3051439,RB
Wayne Gallman,3045127,RB
Damien Harris,3925347,RB
Joe Burrow,3915511,QB
